order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
0,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$1/1100,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$1/1100,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-0,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n0,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
1,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$1/3500,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$1/3500,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-1,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n1,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
2,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$2/1100,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$2/1100,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-2,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n2,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
3,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$2/3500,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$2/3500,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-3,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n3,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
4,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$3/1100,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$3/1100,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-4,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n4,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
5,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$3/3500,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$3/3500,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-5,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n5,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
6,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$4/1100,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$4/1100,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-6,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n6,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
7,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$4/3500,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$4/3500,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-7,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n7,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
8,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$5/1100,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$5/1100,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-8,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n8,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
9,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$5/3500,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$5/3500,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-9,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n9,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
10,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$6/1100,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$6/1100,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-10,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n10,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
11,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$6/3500,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$6/3500,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-11,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n11,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
12,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$7/1100,400,2500,3900/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1908$7/1100,400,2500,3900/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1908-12,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908#page/n12,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1908,0.0,1500,1000,0,0,1000,1000
